, --,Nombre común,Clase,Otros_nombres,Nombre_cientifico,Familia,Fuente,,Estatus,,Codigo_Estatus,Origen,En Zarauz,
,275,Mora de Castilla,Enredadera,,Rubus glaucus,Rosaceae,Referencia,https://colombia.inaturalist.org/taxa/63146-Rubus-glaucus,,,Nativa,Costa Rica a Bolivia,,
,276,Mortiño,Árbol  ,,Hesperomeles goudotiana,Rosaceae,Referencia,https://colombia.inaturalist.org/taxa/538414-Hesperomeles-goudotiana,,,Endémica,Andes Colombia,,
,277,Mulato,Árbol,Palo blanco,Ilex kunthiana,Aquifoliaceae,Referencia,https://plantasdecolombia.com/2014/11/07/ilex-kunthiana-aquifoliaceae/,,,Nativa,"Colombia, Venezuela",,
,278,Musgo birrete,Musgo,,Polytrichum juniperinum,Polytrichaceae,Referencia,https://colombia.inaturalist.org/taxa/67912-Polytrichum,,,Nativa,Andes,,
,279,Musgo ciprés,Musgo,,Hypnum cupressiforme,Hypnaceae,Referencia,https://colombia.inaturalist.org/taxa/241115-Hypnum-cupressiforme-cupressiforme,,,Nativa,Subcosmopolita,,
,280,Naranjito,Arbolito,Naranjo calamodín,Citrofortunella Mitis.,Rutaceae,Referencia,https://www.agromatica.es/calamondin/,,,Cultivada,"China, Filipinas",,C5
,281,Narciso,Hierba,Divja narcisa,Narcissus pseudonarcissus ,Amaryllidaceae,Referencia,https://www.miteco.gob.es/eu/biodiversidad/temas/inventarios-nacionales/iect_narcissus_pseudonarcissus_tcm35-164111.pdf,,,Cultivada,Europa,,
,282,Níspero,Arbusto,,Eriobotrya japonica,Rosaceae,Referencia,https://www.naturalista.mx/taxa/76949-Eriobotrya-japonica,,,Cultivada,Andes,,
,283,No me olvides,Hierba,,Myosotis stricta,Boraginaceae,Referencia,https://colombia.inaturalist.org/taxa/161415-Cynoglossum-amabile,,,Cultivada,Asia,,
,284,Nogal bogotano,Árbol,"Nogal, Cedro nogal
Cedro negro",Juglans neotropica,Juglandaceae,Referencia,https://catalogofloravalleaburra.eia.edu.co/species/257,,,Nativa,Andes,,
,285,Novio,Hierba,Novio enano,Pergalonium zonale,Geraniaceae,Referencia,https://nombrescomunes.jbb.gov.co/site/cientifico?q=Pelargonium+zonale,,,Cultivada,Suráfrica,,
,286,Novio negro,Hierba,Novio enano,Pergalonium zonale,Geraniaceae,Referencia,https://nombrescomunes.jbb.gov.co/site/cientifico?q=Pelargonium+zonale,,,Cultivada,Suráfrica,,
,287,Nudosilla,,Confite,Polygonum capitatum,Polygonaceaae,Referencia,https://identify.plantnet.org/es/the-plant-list/species/Persicaria%20capitata%20(Buch.-Ham.%20ex%20D.Don)%20H.Gross/dataa,,,Adventicia,Subcosmopolita,,
,288,Olivo,Arbusto,Fruta de burro,Quadrella odoratissima,Capparidaceae,Referencia,https://colombia.inaturalist.org/taxa/291609-Quadrella-odoratissima,,,Nativa,México a Colombia y Venezuela,,
,289,Orégano,Aromática,,Origanum majorana,Lamiaceae,Referencia,https://colombia.inaturalist.org/taxa/165925-Origanum-majorana,,,Cultivada,Eurasia,,
,290,Oreja de agua,Hierba acuática,,Heteranthera reniformis,Pontederiaceae,Referencia,https://colombia.inaturalist.org/taxa/163710-Heteranthera-reniformis,,,Nativa,América tropical,,
,291,Orejas de burro,Suculenta,,Kalanchoe gastonis-bonnieri,Crassulaceae,Referencia,https://mexico.inaturalist.org/taxa/82506-Kalanchoe-gastonis-bonnieri,,,Cultivada,Madagascar,,
,292,Oreja de cerdo,Suculenta,,Cotyledon orbiculata ,Crassulaceae,Referencia,https://cibercactus.com/cotyledon-orbiculata/,,,Cultivada,Suráfrica,,
,293,Oreja de elefante,Suculenta,,Kalanchoe beharenis Drake,Crassulaceae,Referencia,https://mexico.inaturalist.org/taxa/320048-Kalanchoe-beharensis,,,Nativa,Madagascar,,
,294,Oreja de gato,Hierba,"Cinta
Suelda consuelda 
Amor de hombre",Tradescantia fluminensis,Commelinaceae,Referencia,https://nombrescomunes.jbb.gov.co/site/cientifico?q=Tradescantia+fluminensis,,,Nativa,Suramérica,,
,295,Orquídea de verrugas verdes,Orquídea,,Pleurotallis phalangifera,Orchidaceae,Referencia,https://colombia.inaturalist.org/taxa/140928-Brassia-verrucosa/browse_photos,,,Nativa,Andes,,
,296,Orquídea mariposa,Orquídea,,Phalaenopsis aphrodite,Orquidáceas,Referencia,https://www.shutterstock.com/es/image-photo/aphrodite-phalaenopsis-orchid-flower-head-2004629276,,,Cultivada,Asia,,
,297,Pagoda roja,Suculenta,,Crassula corymbulosa,Crassulaceae,Referencia,https://www.picturethisai.com/es/care/Crassula_corymbulosa.html,,,Nativa,Andes,,
,298,Pajarito,Arbusto,Crotalaria,Crotalaria agatiflora,Fabaceae,Referencia,https://colombia.inaturalist.org/taxa/337964-Crotalaria-agatiflora,,,Cultivada,África,,
,299,Palma abanico,Árbol - Bonsai,,Livistona rotundifolia,Areaceae,Referencia,https://www.infojardineria.es/livistona-rotundifolia-cuidados-riego-y-problemas-en-las-hojas/,,,Cultivada,Asia,,C5
,300,Palma boba,Arbusto,Helecho arbóreo,Cyathea caracasana,Cyatheacee,Referencia,https://sinchi.org.co/files/publicaciones/novedades%20editoriales/pdf/LR%20Helechos_13_07_2020_web.pdf,,,Nativa,Neotrópico,,
,301,Palma de cera,Árbol,,Ceroxylon quindiuense,Areaceae,Referencia,https://es.wikipedia.org/wiki/Ceroxylon_quindiuense,,,Nativa y amenazada,,,
,302,Palma de yuca,Árbol,Izote,Yucca elephantipes,,Referencia,https://colombia.inaturalist.org/taxa/290827-Yucca-elephantipes,,,Cultivada,"Andes, México, Guatemala",,
,303,Palo de San Diego,Arbusto,,Tabernaemontana citrifolia,Apocynaceae,Referencia,https://ecuador.inaturalist.org/taxa/291821-Tabernaemontana-citrifolia,,,Nativa,Colombia a Brasil,,
,304,Papa,Hierba,,Solanum tuberosum,Solanaceae,Referencia,https://www.biodiversidadvirtual.org/herbarium/Solanum-tuberosum-L.-img89707.html,,,Nativa,Perú. Cultivada en todo el mundo,,
,305,Papayuelo,Árbol,,Vasconcellea pubescens,Caricaceae,Referencia,https://colombia.inaturalist.org/taxa/508242-Vasconcellea-pubescens,,,Nativa,Panamá a Venezuela y Bolivia,,
,306,Papiro,Hierba,,Cyperus papyrus,Cyperaceae,Referencia,https://identify.plantnet.org/es/the-plant-list/species/Cyperus%20alternifolius%20L./data,,,Cultivada,África,,
,307,Papiro enano,Hierba,Paragüitas,Cyperus isocladus,Cyperaceae,Referencia,https://www.logees.com/dwarf-papyrus-cyperus-isocladus.html,,,Cultivada,África,,
,308,Paraseto,Arbusto,Aligustre,Ligustrum lucidum,Olaceae,Referencia,https://catalogofloravalleaburra.eia.edu.co/species/82,,,Cultivada,China,,
,309,Parmotrema,Liquen,,Parmotrema reticulatum,Parmeliaceae,Referencia,https://colombia.inaturalist.org/taxa/117892-Parmotrema-reticulatum,,,Nativa,Cosmopolita,,
,310,Pasto oloroso,Hierba,Alpistillo,Anthoxanthum odoratum,Poaceae,Referencia,https://colombia.inaturalist.org/taxa/75475-Anthoxanthum-odoratum,,,Adventicia,Cosmopolita,,
,311,Paula,Orquídea,,Phalaenopsis Polka Dots,Orchidaceae,Referencia,https://help.thecolvinco.com/hc/es/articles/4414761790738-Paula-Orquídea-Phalaenopsis-Polka-Dots,,,Cultivada,Asia SE,,
,312,Pegamosco,Arbusto,,Bejaria resinosa,Ericaceae,Referencia,https://colombia.inaturalist.org/taxa/531682-Bejaria-resinosa,,,Nativa,"Venezuela, Colombia, Ecuador",,
,313,Pensamiento,Hierba,,Viola tricolor,Violaceae,Referencia,https://www.hogarmania.com/jardineria/fichas/plantas/pensamiento-viola-wittrockiana-11570.html,,,Naturalizada y adventicia,Europa y Asia menor,,
,314,Pentas ,Hierba,,Pentas lanceolatas,Rubiaceae,Referencia,https://colombia.inaturalist.org/taxa/68317-Pentas-lanceolata,,,Cultivada,África,,
,315,Peperomia,Suculenta,,Peperomia obtusifolia,Piperaceae,Referencia,https://es.wikipedia.org/wiki/Peperomia_obtusifolia,,,Nativa,México a Boivia y Brasil,,
,316,Pepino,"Hierba, trepadora",,Cyclanthera pedata,Cucurbitaceae,Referencia,https://colombia.inaturalist.org/taxa/157053-Cyclanthera-pedata,,,Nativa,Suramérica,,
,317,Peral,Arbusto,,Pyrus communis,Rosaceae,Referencia,https://colombia.inaturalist.org/taxa/63951-Pyrus-communis,,,Cultivada,Cosmopolita,,
,318,Perejil,Hierba,,Petroselinum criispum,Apiaceae,Referencia,https://colombia.inaturalist.org/taxa/78465-Petroselinum-crispum,,,Cultivada,Europa,,
,319,Perilla,Hierba,"Shiso, albahaca japonesa",Perilla frutescens var. crispa,Lamiaceae,Referencia,https://es.wikipedia.org/wiki/Archivo:Red_Shiso_-_Perilla_frutescens_var._crispa_f._purpurea.jpg,,,Cultivada,Asia  ,,
,320,Petrantus,Hierba,Plectantrus,Plectranthus ´Mona Lavender´,Lamiaceae,Referencia,https://paisajismoyjardin.com/item.aspx?id=102439-plectranthus--´mona-lavender´,,,Cultivada,"África, Asia",,
,321,Pichón  ,Hierba,Ala de ángel,Begonia x benariensis,Begoniaceae,Referencia,https://www.benary.com/products/begonia-x-benariensis-f1-big-deluxxe,,,Nativa,Suramérica,,
,322,Pichón rojo,Arbusto,"Begonia
Bic",Begonia cucullata Willd.,,Referencia,https://www.jardineriaon.com/begonia-semperflorens.html,,,Nativa,Neotropical,,
,323,Pino candelabro,Árbol,Pino pátula,Pinus patula,Pinaceae,Referencia,https://colombia.inaturalist.org/taxa/273784-Pinus-patula,,,Cultivada,México,,
,324,Pino libro,Árbol,,Thuja occidentalis,Cupressaceae,Referencia,https://catalogofloravalleaburra.eia.edu.co/species/302,,,Cultivada,Norteamérica,,"C1
Cab"
,325,Pino romerón,Árbol,,Retrophyllum rospigliosii,Podocarpaceae,Referencia,https://nombrescomunes.jbb.gov.co/site/combinacion?q=1761,,,Nativa,Venezuela a Bolivia,,JS
,326,Pino vela,Árbol,Ciprés mediterráneo,Cupressus sempervirens,Cupressaceae,Referencia,https://catalogofloravalleaburra.eia.edu.co/species/301,,,Cultivada,Mediterráneo,,E2
,327,Pita,Hierba,"Penca
Magüey amarillo",Agave americana 'variegata',Asparagaceae,Referencia,https://guiadejardin.com/agave-americana-variegata/,,,Cultivada,México,,
,328,Pitcairnia,Hierba,,Pitcairnia sanguinea,Pitcairnia,Referencia,https://colombia.inaturalist.org/taxa/426432-Pitcairnia-sanguinea,,,Endémica,"Colombia, Macarena, Guyana",,
,329,Platero,Arbusto,,Gaiadendron punctatum,Loranthaceae,Referencia,https://ecuador.inaturalist.org/taxa/496333-Gaiadendron-punctatum,,,Nativa,"Andes, SN Santa Marta",,
,330,Pleurotalis,Orquídea,,Pleurothallis quadrifida,Orchidaceae,Referencia,http://marniturkel.com/Pages/orchids/o.articles/drch_uncatum.html,,,Nativa,México a Venezuela. Caribe. ,,
,331,Plumero,Hierba,Pasto morado de la Pampa,Cortaderia jubata,Poaceae,Referencia,https://colombia.inaturalist.org/taxa/52714-Cortaderia-jubata,,,Nativa,Colombia a Argentina,,S1
,332,Polígala,Arbusto,,Polygala myrtifolia  ,Polygalaceae,Referencia,https://identify.plantnet.org/es/weurope/species/Polygala%20myrtifolia%20L./dataa,,,Cultivada,"Europa, Asia",,
,333,Pomarroso,Arbolito,"Metrosideros
Eucalipto pomarroso",Metrosideros excelsa Gaertn.,Myrtaceae,Referencia,https://colombia.inaturalist.org/taxa/122905-Metrosideros-excelsa,,,Cultivada,Nueva Zalanda,,C5
,334,Quiche,Epífita,Bromelia,Tillandsia complanata Benth.,Bromeliaceae,Referencia,https://www.inaturalist.org/guide_taxa/1620829,,,Nativa,América tropical,,
,335,Quicuyo,Hierba,Kikuyo,Cenchrus clandestinus,Poaceae,Referencia,https://www.gbif.org/es/species/5828201,,,Naturalizada y adventicia,Cosmopolita,,
,336,Rábano,Hierba,,Raphanus sativus,Brassicaceae,Referencia,https://colombia.inaturalist.org/taxa/55410-Raphanus-sativus,,,Cultivada,Eurasia,,
,337,Rabo de gato,Hierba,,Cenchrus setaceus,Poaceae,Referencia,https://colombia.inaturalist.org/taxa/430581-Cenchrus-setaceus,,,Cultivada y naturalizada,N África a Afganistán,,
,338,Ramo de novia,Arbusto,"Rayito de luz 
Chorrito de luz",Ledenbergia peruviana,Petiveriaceae,Referencia,https://panama.inaturalist.org/taxa/733558-Ledenbergia-seguierioides,,,Cultivada,Ecuador a Perú,,
,339,Raque,Arbusto,,Vallea stipularis,Elaeocarpaceae,Referencia,https://spain.inaturalist.org/taxa/465262-Vallea-stipularis,,,Nativa,"Andes, SN. Santa Marta",,
,340,Repollo,,Tallos,Brassica olareacea,Brassicaceae,Referencia,https://nombrescomunes.jbb.gov.co/site/combinacion?q=1840,,,Cultivada,Europa,,
,341,Retamo espinoso,"Hierba, arbusto",,Ulex europaeus L,Fabaceae,Referencia,https://www.car.gov.co/uploads/files/60649ed3629bc.pdf,,,Naturalizada e invasora,Europa,,S4
,342,Retamo liso,"Hierba, arbusto",Retamilla,Genista monspessulana,Fabaceae,Referencia,https://www.car.gov.co/uploads/files/60649ed3629bc.pdf,,,Naturalizada,Mediterráneo,,
,343,Roble andino,Árbol,Roble de tierra fría,Quercus humboldtii Bonpl.,Fagaceae,Referencia,https://colombia.inaturalist.org/taxa/133176-Quercus-humboldtii,,,Nativa y amenazada,Colombia a Panamá,,
,344,Rodamonte,"Arbusto, arbolito",Pagoda,Escallonia myrtilloides,Erythroxylaceae,Referencia,https://identify.plantnet.org/es/the-plant-list/species/Escallonia%20myrtilloides%20L.f./data,,,Nativa,"Andes, SN. Santa Marta",,
,345,Romero,Hierba,,Salvia rosmarinus,Lamiaceae,Referencia,https://colombia.inaturalist.org/taxa/636795-Salvia-rosmarinus,,,Cultivada,Mediterráneo,,
,346,Romero falso,Hierba,"Westringia
Romero australiano",Westringia fruticosa,Lamiaceae,Referencia,https://www.picturethisai.com/es/wiki/Westringia_fruticosa.html,,,Cultivada,Australia,,
,347,Rosa ballerina,Arbusto,,Rosa sp-,Rosaceae,Referencia,https://eu.davidaustinroses.com/products/ballerina,,,Cultivada,Cosmopolita,,
,348,Rosa china,Arbusto,Rosa de Castilla,Rosa chinesis,Rosaceae,Referencia,https://www.picturethisai.com/es/wiki/Rosa_chinensis.html,,,Cultivada,Cosmopolita,,
,349,Rosa de té,Arbusto,,Rosa odorata,Rosaceae,Referencia,https://cosasderosas.com/hibrido-te/,,,Cultivada,Cosmopolita,,
,350,Rosa Laure Davoust,Arbusto,,Rosa sp-,Rosaceae,Referencia,https://garden.org/plants/photo/158262/,,,Cultivada,Cosmopolita,,
,351,Rosa madreselva,Arbusto,,Rosa multiflora,Rosaceae,Referencia,https://mrussellphotography.photoshelter.com/image/I0000pZvmY3zJP4Y,,,Cultivada,Cosmopolita,,
,352,Rosa maneti,Arbusto,,Rosa manettii,Rosaceae,Referencia,http://diasderosas.blogspot.com/2010/06/rosa-manettii.html,,,Cultivada,Cosmopolita,,
,353,Rosa negra,Suculenta,Aenomium negro,"Aeonium arboreum ""Zwartkop""",Crassulaceae,Referencia,https://clubsuculentas.com/crassulaceae/aeonium/aeonium-arboreum-zwartkop/,,,Cultivada,Islas canarias,,
,354,Rosa sevillana,Arbusto,,Rosa sp-,Rosaceae,Referencia,https://www.lasrosasdeelisa.com.ar/productos/la-sevillana/,,,Cultivada,Cosmopolita,,
,355,Rosetón,Suculenta,,Echeveria sp.,Crassulaceae,Referencia,https://es.wikipedia.org/wiki/Echeveria_elegans,,,Cultivada,Cosmopolita,,
,356,Rosetón,Suculenta,,Echeveria elegans,Crassulaceae,Referencia,https://es.wikipedia.org/wiki/Aeonium_undulatum,,,Cultivada,Islas Canarias,,
,357,Ruache,Árbol,"Arrayán umate
Cerezo montañero",Prunus buxifolia,Rosaceae,Referencia,https://colombia.inaturalist.org/taxa/547401-Prunus-buxifolia,,,Endémica,Colombia - Andes,,
,358,Ruda,"Hierba, arbusto",,Ruta graveloens,Rubiaceae,Referencia,https://colombia.inaturalist.org/taxa/147294-Ruta-graveolens,,,Cultivada,S Europa,,
,359,Rúgula,,,Eruca versicalia,Brassicaceae,Referencia,https://colombia.inaturalist.org/taxa/77058-Eruca-vesicaria,,,Naturalizada,Mediterráneo,,
,360,Sábila,Arbusto,,Aloe arborescens,Xanthorrhoeaceae,Referencia,https://colombia.inaturalist.org/taxa/81518-Aloe-arborescens,,,Cultivada,Suráfrica,,
,361,Salvia,Arbusto,,Salvia leucantha,Lamiaceae,Referencia,https://identify.plantnet.org/es/the-plant-list/species/Salvia%20leucantha%20Cav./data,,,Cultivada,México y Centroamérica,,
,362,Salvio blanco,"Arbusto, árbol",Gallinazo,Lippia hirsuta,Verbenaceae,Referencia,https://colombia.inaturalist.org/taxa/541851-Lippia-hirsuta,,,Nativa,"Colombia, Venezuela, Ecuador",,
,363,Sangregao (denticulado),Árbol,,Croton sp. 2,Euphorbiaceae,Referencia,https://colombia.inaturalist.org/observations/227583729,,,Nativa,"Andes, pacífico",,
,364,Sangregao (trilobulado),Árbol,,Croton sp. 1,Euphorbiaceae,Referencia,https://www.gbif.org/es/species/3060181,,,Nativa,México a Guyana,,
,365,Sangregao      (velloso),Árbol,,Croton sp. 3,Euphorbiaceae,Referencia,https://www.gbif.org/es/occurrence/1453506102,,,Nativa,Colombia a Ecuador,,
,366,Sanguinaria,Hierba,,Cheilanthes notholaenoides,Pteridaceae,Referencia,https://colombia.inaturalist.org/taxa/160475-Cheilanthes-notholaenoides,,,Nativa,Estados Unidos a Argentina,,
,367,Sauce,Árbol,,Salix humboldtiana Willd.,Salicaceae,Referencia,https://nombrescomunes.jbb.gov.co/site/cientifico?q=Salix+humboldtiana,,,Nativa,México a Suramérica,,
,368,Sauco,"Arbusto, arbolito",,Sambucus nigra,Adoxaceae,Referencia,https://catalogofloravalleaburra.eia.edu.co/species/262,,,Nativa,Canadá a Argentina,,
,369,Sedeveria,Suculenta,Cola de burro,Sedeveria harry butterfield,Crassulaceae,Referencia,https://www.cotswoldgardenflowers.co.uk/encyclopedia/x-sedeveria-harry-butterfield/,,,Cultivada,Estados Unidos,,
,370,Siemprevivas,Suculenta,,Sedum palmeri,Crassulaceae,Referencia,https://en.wikipedia.org/wiki/Sedum_palmeri,,,Cultivada,México,,
,371,Sietecueros tibuchina,Arbusto,,Pleroma heteromallum,Mélastomatacées,Referencia,https://es.pinterest.com/pin/478085316683912383/,,,Nativa,Andes,,
,372,Sietecueros blanco,Arbusto,,Tibouchina lepidota var. Alba,Melastomataceae,Referencia,https://www.rarepalmseeds.com/tibouchina-lepidota-alba,,,Nativa,Venezuela a Perú,,
,373,Sietecueros lengua de vaca,Arbusto,,Pleroma semidecandrum,Melastomataceae,Referencia,https://colombia.inaturalist.org/taxa/1121127-Pleroma-semidecandrum,,,Cultivada,Brasil,,
,374,Sietecueros nativo,"Arbusto, arbolito",,Tibouchina lepidota,Melastomataceae,Referencia,https://catalogofloravalleaburra.eia.edu.co/species/65,,,Nativa,Venezuela a Perú,,
,375,Sietecueros nazareno,Arbusto,,Tibouchina urvilleana,Melastomataceae,Referencia,https://ecuador.inaturalist.org/taxa/1263850-Pleroma-urvilleanum,,,Cultivada,Brasil,,
,376,Sietecueros rastrero,"Hierba, enredadera",Sanjuanito,Centradenia inaequilateralis,Melastomataceae,Referencia,https://identify.plantnet.org/es/k-world-flora/observations/1021851529,,,Cultivada,México y centroamérica,,
,377,Singonio,Hierba,Chapiso,Singonium podophyllum,Araceae,Referencia,https://ecuador.inaturalist.org/taxa/143208-Syngonium-podophyllum,,,Nativa,México a Bolivia,,
,378,Spodiopogon,Hierba,,Spodiopogon sibiricus,Poaceae,Referencia,https://colombia.inaturalist.org/taxa/602024-Spodiopogon-sibiricus,,,Adventicia,Asia,,
,379,Stelis,"Hierba, epífita",,Stelis imraei,Orchidaceae,Referencia,https://plantidtools.fieldmuseum.org/es/nlp/catalogue/4383040,,,Nativa,América tropical,,
,380,Stipa,Hierba,,Nassella tenuissima,Poaceae,Referencia,https://colombia.inaturalist.org/taxa/165660-Nassella-tenuissima,,,Cultivada,Argentina y Chile,,
,381,Susanita,Trepadora,"Ojo de pajarito
Ojo de poeta",Thunbergia alata,Acanthaceae,Referencia,https://www.car.gov.co/uploads/files/60635f0d5b20b.pdf,,,Naturalizada e invasora,África,,
,382,Tabaco,Subarbusto,San Pedrito,Nicotiana rustica,Solanaceae,Referencia,https://colombia.inaturalist.org/taxa/165707-Nicotiana-rustica,,,Nativa,"Colombia a Perú; Canadá, E.E.U.U.",,
,383,Tallos,Hierba,Col silvestre,Brassica oleracea var.,Brassicaceae,Referencia,https://agrosemval.com/producto/col-tallos-georgia/,,,Cultivada,Europa,,
,384,Telochistes,Liquen,,Teloschistes flavicans,Teloschistaceae,Referencia,https://colombia.inaturalist.org/taxa/57807-Teloschistes-flavicans,,,Nativa,Subcosmopolita,,
,385,Tíbar blanco,"Árbol, arbolito","Chilco colorado
Jarillo",Escallonia paniculata,Escalloniaceae,Referencia,https://www.reddearboles.org/ficha-tecnica/nwcproduct/813/arbol-nativo-tibar,,,Nativa,"Andes, S.N. Santa Marta",,
,386,Tilo,Arbusto,Algodón extranjero,Sparrmannia africana,Malvaceae,Referencia,https://colombia.inaturalist.org/taxa/431637-Sparrmannia-africana/browse_photos,,,Cultivada,Suráfrica,,
,387,Tobira,Arbusto,Clavo verde asiático,Pittosporum tobira,Pittosporaceae,Referencia,https://colombia.inaturalist.org/taxa/78592-Pittosporum-tobira,,,Cultivada,Asia,,
,388,Tomate cimarrón,"Hierba, trepadora",,Solanum lycopersicum ,Solanaceae,Referencia,https://colombia.inaturalist.org/taxa/51737-Solanum-lycopersicum,,,Cultivada,"Ecuador, Perú, México",,
,389,Tomate de árbol,"Arbusto, arbolito",,Solanum betaceum,Solanaceae,Referencia,https://colombia.inaturalist.org/taxa/280909-Solanum-betaceum,,,Cultivada,Bolivia y Argentina,,
,390,Tominejero,"Arbusto, arbolito",,Palicourea lineariflora,Rubiaceae,Referencia,https://colombia.inaturalist.org/taxa/336450-Palicourea-lineariflora,,,Endémica,"Amazonia, Andes, Orinoquia",,
,391,Toronjil,"Hierba, aromática",,Melissa officinalis,Lamiaceae,Referencia,https://identify.plantnet.org/es/the-plant-list/species/Melissa%20officinalis%20L./data,,,Cultivada,Europa,,
,392,Trompeto,Arbolito,,Bocconia sp.,Papaveraceae,Referencia,https://catalogofloravalleaburra.eia.edu.co/species/84,,,Nativa,"Andes, SN Santa Marta",,
,393,Tronco de Brasil,Arbusto,,Dracaena reflexa,Asparagaceae,Referencia,https://colombia.inaturalist.org/taxa/126515-Dracaena-fragrans,,,Cultivada,África,,
,394,Tuno esmeraldo,"Hierba, arbusto, arbolito, árbol",,Miconia squamulosa,Melastomataceae,Referencia,https://colombia.inaturalist.org/taxa/484775-Miconia-squamulosa,,,,Andes ,,
,395,Uchuva,"Hierba, subarbusto",Uchua,Physalis peruviana,Solanaceae,Referencia,https://nombrescomunes.jbb.gov.co/site/cientifico?q=physalis+,,,Nativa y cultivada,"Andes, SN Santa Marta",,
,396,Urapán,Árbol,,Fraxinus uhdei,Oleaceae,Referencia,https://colombia.inaturalist.org/taxa/134212-Fraxinus-uhdei,,,Cultivada,Estados Unidos a Honduras,,
,397,Uva camarona,"Arbusto, trepadora, epífita",,Macleania rupestris,Ericaceae,Referencia,https://colombia.inaturalist.org/taxa/465065-Macleania-rupestris,,,Nativa,"Andes, SN Santa Marta",,
,398,Uva de anís,"Arbusto, epífita",Limoncillo,Cavendishia bracteata,Ericaceae,Referencia,https://ecuador.inaturalist.org/taxa/291293-Cavendishia-bracteata,,,Nativa,"Andes, SN Santa Marta",,
,399,Verbena arbustiva,"Hierba, subarbusto, arbusto",,Stachytarpheta cayennensis,Verbenaceae,Referencia,https://colombia.inaturalist.org/taxa/126569-Stachytarpheta-cayennensis,,,Nativa,México a Argentina,,
,400,Verbena de altura,"Hierba, subarbusto, arbusto",,Verbena brasiliensis,Verbenaceae,Referencia,https://colombia.inaturalist.org/taxa/79487-Verbena-bonariensis,,,Nativa,México a Argentina,,
,401,Villanova,Hierba,,Villanova oppositifolia,Asteraceae,Referencia,https://colombia.inaturalist.org/taxa/548164-Villanova-oppositifolia,,,Adventicia,Perú y Bolivia,,
,402,Vinca,"Hierba, trepadora, liana",Hierba doncella mediterránea,Vinca major,Apocynaceae,Referencia,https://colombia.inaturalist.org/taxa/53326-Vinca-major,,,Cultivada,"Europa, África",,E1
,403,Viola,Hierba,,Viola arvensis,Violaceae,Referencia,https://colombia.inaturalist.org/taxa/55760-Viola-arvensis,,,Naturalizada y adventicia,Europa,,
,404,Violeta,Hierba,Mastranto,Viola odorata,Violaceae,Referencia,https://nombrescomunes.jbb.gov.co/site/cientifico?q=viola,,,Cultivada,S de Europa y Asia,,"C1
C4"
,405,Vira-vira,Hierba,Cenizo,Achyrocline bogotensis,Asteraceae,Referencia,https://es.wikipedia.org/wiki/Achyrocline_bogotensis#Descripción,,,Nativa,N Andes,,
,406,Virginia,"Hierba, trepadora","Pandorea
Bejuco australiano",Pandorea jasminoides,Bignoniaceae,Referencia,https://ecuador.inaturalist.org/taxa/346424-Pandorea-jasminoides,,,Cultivada,Australia y Malasia,,
,407,Yarumo blanco,Árbol,Guarumo,Cecropia sp. ,Urticaceae,Referencia,https://catalogofloravalleaburra.eia.edu.co/species/253,,,Nativa,Venezuela a Perú,,C2
,408,Yarumo negro,Árbol,Guarumo,Cecropia sp. ,Urticaceae,Referencia,https://colombia.inaturalist.org/taxa/284771-Cecropia-angustifolia/browse_photos,,,Nativa,S México a N Suramérica,,C5
,409,Zanahoria,Hierba,,Daucus carota,Apiaceae,Referencia,https://colombia.inaturalist.org/taxa/76610-Daucus-carota,,,Cultivada,"Mediterraneo, SO Asia",,
,410,Zarcilla,Trepadora,Bomarea,Bomarea edulis,Alstroemeriaceae,Referencia,https://colombia.inaturalist.org/taxa/71433-Alstroemeriaceae,,,Nativa,México a Argentina,,
,411,Zarzamora,Arbusto,,Rubus bogotensis,Rosaceae,Referencia,https://ecuador.inaturalist.org/taxa/327840-Rubus-bogotensis,,,Nativa,Venezuela a Bolivia,,
,412,Zinia,Hierba,Mal de ojo,Zinnia elegans,Asteraceae,Referencia,https://colombia.inaturalist.org/taxa/181901-Zinnia-elegans,,,Cultivada,México  ,,S1